"","order","Virus","total","AsynNC_C","AsynC_LCLS","AsynNC_LCLS","AsynC_UCLS","AsynNC_UCLS","TsynNC_C","TsynC_LCLS","TsynNC_LCLS","TsynC_UCLS","TsynNC_UCLS"
"1","30","Bk Polyoma VP1"," 3445596","100.2861163","0.00008359654","0.0204949507","0.0004642332","0.034444767","237.83653846","0.00000000000000000001355253","0.0145887982","0.0001826099","0.0288425124"
"2"," 1","Dengue 1","18143808","  3.0633783","0.01722359713","0.0572279734","0.0227084446","0.065098975","  4.36928666","0.03309024591279293575629694","0.1540770011","0.0405271644","0.1675785676"
"3"," 2","Dengue 2","14913618","  1.5666541","0.04208023140","0.0696332275","0.0522790228","0.078195083","  1.89322179","0.08611048216970547397597358","0.1710707153","0.1024644289","0.1859434157"
"4"," 3","Dengue 3"," 9753030","  2.9010737","0.01701967285","0.0525345896","0.0218979850","0.060368406","  3.54427199","0.02964436702051750915920536","0.1120066433","0.0367813786","0.1234242666"
"5"," 4","Dengue 4"," 2612736","  1.8252812","0.03014563402","0.0583949757","0.0379072506","0.065820678","  2.42254035","0.05065471969372038057999319","0.1289623791","0.0606117277","0.1405850794"
"6","24","Entero D68 VP1","  288288","  3.4517241","0.02641680518","0.1129703995","0.0520463983","0.157862934","  3.49444444","0.02600194689016800675407382","0.1140770962","0.0514773920","0.1566701490"
"7","23","Entero C VP2 Polio2","  466662","  1.5714286","0.02091184511","0.0476023512","0.0533193320","0.069046641","  2.06748252","0.03166578281194675631438074","0.0637708898","0.0421501934","0.0888423506"
"8","18","Entero A VP1 EVA71"," 3456204","  1.7741819","0.04483905346","0.0800212694","0.0574042800","0.101377001","  1.64359311","0.05606995972953696810714419","0.0947512791","0.0714358602","0.1148164082"
"9","19","Entero A VP2 EVA71","  169050","  2.2234020","0.05410831338","0.1764495411","0.1385873388","0.251990357","  1.62070499","0.13052897421393777621645427","0.2644356189","0.2374710258","0.3319838185"
"10","20","Entero B VP1 Echovirus30"," 2119044","  0.3949510","0.06704055702","0.0273384476","0.1090308223","0.042201121","  0.36832381","0.07940453337794911581326573","0.0297487320","0.1299106106","0.0473470198"
"11","21","Entero B VP2 Echovirus30","  309750","  1.2279818","0.17880949060","0.2160043200","0.1986596059","0.247520855","  1.32188623","0.25745481540797610087167868","0.3337335388","0.3126285852","0.4198518589"
"12","22","Entero C VP1 Polio2"," 1215852","  1.7498839","0.02540766273","0.0488391311","0.0365396795","0.059561528","  1.57310855","0.04417753236792822113532253","0.0707441907","0.0587895453","0.0912341998"
"13","32","HBV A Polymerase","  224928","  1.1657754","0.00463108534","0.0063239598","0.0231466924","0.026058690"," 59.65116279","0.00000000000000000000000000","0.0132131706","0.0007575758","0.0319771042"
"14","33","HBV A S","  199617","  1.7678571","0.00460633806","0.0102034837","0.0244292651","0.041127315"," 77.12121212","0.00000000000000000005421011","0.0172592793","0.0007604563","0.0413880303"
"15","34","HBV B Polymerase","  270882","  3.2096635","0.00095037829","0.0069408515","0.0054254606","0.013523446","  1.70348837","0.00307417359756608464527172","0.0091993749","0.0113553566","0.0153811620"
"16","35","HBV B PreC-Core","  219816","  1.0809313","0.00634458255","0.0074222823","0.0174926268","0.018344102","  6.53171642","0.00125684300538833225099888","0.0128091429","0.0039111157","0.0209464975"
"17","36","HBV C polymerase","  815865","  1.7009107","0.00786223491","0.0337204009","0.0470301586","0.059646661","  1.60208500","0.00886001408726196093557093","0.0162406648","0.0157606558","0.0232037413"
"18","37","HBV C PreC-Core","  372537"," 13.0976744","0.00042408376","0.0060083690","0.0011352488","0.014415262","  1.36627141","0.00880577342981365106255875","0.0126806517","0.0190420724","0.0253670639"
"19","38","HBV C S"," 1854816","  0.4847826","0.00561472088","0.0021179296","0.0123708906","0.006601182"," 28.31460674","0.00015215677023702837153754","0.0100571358","0.0010468840","0.0238932319"
"20"," 5","HCV 1 A"," 3739662","  1.3313680","0.10436553855","0.1423106619","0.1222357891","0.159379105","  1.34760844","0.11478645102461219884570909","0.1567748596","0.1279312990","0.1703136287"
"21"," 6","HCV 1 B"," 2195019","  1.2745962","0.11631632288","0.1511162399","0.1328998245","0.166533719","  1.24980799","0.14703355358408803921221875","0.1868046184","0.1624235149","0.1999572995"
"22"," 7","HIV pol Gene"," 9550836","  2.7101964","0.02294484236","0.0727014403","0.0345069798","0.083004281","  6.33991464","0.01463171015078000569697991","0.1111545812","0.0232472307","0.1289946705"
"23"," 9","Human Parainfluenza 3 HN"," 1210950","  2.0452099","0.01204262769","0.0277514782","0.0227826835","0.043473593","  1.72977899","0.01572724660598299323277516","0.0342505672","0.0312813004","0.0470638299"
"24","31","Human Boca 1 VP1","  424743"," 15.6960616","0.00022548415","0.0029579553","0.0005562621","0.009312382","  9.00381971","0.00031586180182086845327077","0.0027666926","0.0009403479","0.0085439928"
"25","39","Herpes 2 Glycoprotein G","  658008","  4.9920635","0.00006833999","0.0005322362","0.0004514105","0.002062391","  0.02809991","0.00381751624139077538888642","0.0002581488","0.0322020198","0.0007539969"
"26","40","Human Papilloma 16 L1"," 1675872","  1.0901786","0.00066305384","0.0017026158","0.0059245614","0.005479061","  0.57447619","0.00060893136443653829437128","0.0008126638","0.0064676085","0.0032526399"
"27","10","Human Parainfluenza 1"," 1425303","  1.6928637","0.00819017465","0.0159265482","0.0131583398","0.020213576","  2.12053822","0.00954892786115332098395569","0.0233220466","0.0146594001","0.0280126381"
