"","order","Virus","total","AsynNC_C","AsynC_LCLS","AsynNC_LCLS","AsynC_UCLS","AsynNC_UCLS","TsynNC_C","TsynC_LCLS","TsynNC_LCLS","TsynC_UCLS","TsynNC_UCLS"
"1","30","Bk Polyoma VP1"," 3445596","84.24501425","0.00008359654","0.0167431685","0.0004642332","0.029408757","288.16239316","-0.00000000000000000001355253","0.0162479858","0.0001867601","0.0375692638"
"2"," 1","Dengue 1","18143808"," 2.36054319","0.03534541919","0.0918781795","0.0489053386","0.106999373","  2.21501001"," 0.10067430824966901170558486","0.2370858171","0.1259535464","0.2648971495"
"3"," 2","Dengue 2","14913618"," 1.42184404","0.07331043754","0.1094037331","0.0920249509","0.125677404","  2.01177345"," 0.12656271867111162920949141","0.2661044538","0.1522830377","0.2948700353"
"4"," 3","Dengue 3"," 9753030"," 1.56226220","0.04041898260","0.0679439634","0.0547497832","0.080734602","  2.43045624"," 0.05838017999164532567668573","0.1543119288","0.0772617242","0.1753597838"
"5"," 4","Dengue 4"," 2612736"," 1.83019133","0.03476417698","0.0675898100","0.0442856673","0.077086529","  2.65160832"," 0.05304363279362569322250565","0.1483229383","0.0647788054","0.1640960192"
"6","24","Entero D68 VP1","  288288"," 5.98564189","0.01935349443","0.1396442928","0.0396576698","0.213575404","  4.29925187"," 0.02196892996561595340354600","0.1225410542","0.0470737698","0.1742909018"
"7","23","Entero C VP2 Polio2","  466662"," 2.55578928","0.03502512678","0.1433059436","0.1155581182","0.241553100","  0.89064588"," 0.09688975442807079563323214","0.0988753167","0.2059089418","0.1708110945"
"8","18","Entero A VP1 EVA71"," 3456204"," 1.75078985","0.08317221408","0.1634210785","0.1517734662","0.247919435","  1.05734635"," 0.13500937617226199671804920","0.1477723302","0.2129635048","0.2201555257"
"9","19","Entero A VP2 EVA71","  169050"," 3.31273764","0.04840053088","0.2482918192","0.1345559909","0.357795137","  1.99603581"," 0.15205561238891712738663387","0.3745333128","0.2843080240","0.4964641297"
"10","20","Entero B VP1 Echovirus30"," 2119044"," 2.36211163","0.09529974567","0.2569236939","0.1601088254","0.346379863","  1.42973494"," 0.19123770946964049888272541","0.2805002309","0.2890020590","0.4061153445"
"11","21","Entero B VP2 Echovirus30","  309750"," 1.68269067","0.17741006394","0.2998298660","0.2006864159","0.336389555","  1.70338983"," 0.25926656410943171859884160","0.4695056374","0.3121620073","0.5038599800"
"12","22","Entero C VP1 Polio2"," 1215852"," 0.89875814","0.17446234952","0.1534639770","0.2884217609","0.262556887","  1.20380102"," 0.16252145388193836583745622","0.2053700646","0.2696310930","0.3148556113"
"13","32","HBV A Polymerase","  224928"," 2.54231499","0.00476107371","0.0145239345","0.0259027069","0.063433055"," 89.64179104"," 0.00000000000000000000000000","0.0308129774","0.0010822511","0.0662019480"
"14","33","HBV A S","  199617"," 2.78313253","0.00464661874","0.0156312319","0.0254095102","0.068018958"," 80.59701493","-0.00000000000000000010842022","0.0322171310","0.0012674271","0.0699337117"
"15","34","HBV B Polymerase","  270882"," 0.47416861","0.00313365995","0.0060655087","0.0866713896","0.036517227","  3.33105491"," 0.00481635841665102246156316","0.0157901421","0.0143111584","0.0479246666"
"16","35","HBV B PreC-Core","  219816"," 2.15631929","0.00634458255","0.0079128632","0.0174926268","0.043487771","  6.09375000"," 0.00133760027070826590343822","0.0126587074","0.0041343560","0.0206860258"
"17","36","HBV C polymerase","  815865"," 0.97596154","0.02176774687","0.0368576560","0.0824406700","0.064845751","  2.76400262"," 0.00886001408726196093557093","0.0243572865","0.0157606558","0.0436943097"
"18","37","HBV C PreC-Core","  372537"," 0.10338346","0.00077884826","0.0043139245","0.1295813576","0.009163164","  1.36627141"," 0.00880577342981365106255875","0.0126806517","0.0190420724","0.0253670639"
"19","38","HBV C S"," 1854816"," 0.65172414","0.00561472088","0.0023706113","0.0123708906","0.009351046","  0.60454901"," 0.00059795782649866430213947","0.0179162362","0.1089759215","0.0483265443"
"20"," 5","HCV 1 A"," 3739662"," 1.12673100","0.13399811858","0.1545421771","0.1602399721","0.176985002","  1.24205207"," 0.13119272307597190652117547","0.1657711666","0.1495114761","0.1828780656"
"21"," 6","HCV 1 B"," 2195019"," 1.29538614","0.11790963222","0.1555139431","0.1347506546","0.171778691","  1.16019888"," 0.15650447865126476676422840","0.1847688642","0.1736410033","0.1982655551"
"22"," 7","HIV pol Gene"," 9550836"," 4.84718685","0.02115713218","0.1202511412","0.0319017668","0.136935256","  6.95551989"," 0.01462781543202675699211213","0.1212635200","0.0233739888","0.1430587854"
"23"," 9","Human Parainfluenza 3 HN"," 1210950"," 1.01914274","0.02759311717","0.0315699517","0.0590670581","0.056749137","  2.53489440"," 0.01572724660598299323277516","0.0469976870","0.0312813004","0.0721640155"
"24","31","Human Boca 1 VP1","  424743","15.80431034","0.00022548415","0.0029785626","0.0005562621","0.009376397"," 18.83193277"," 0.00031586180182086845327077","0.0047787071","0.0009403479","0.0188781490"
"25","39","Herpes 2 Glycoprotein G","  658008"," 0.06390977","0.00025909166","0.0005903044","0.0446127032","0.002277442","  0.02722323"," 0.00368168075844601400126166","0.0002581488","0.0334978064","0.0007539969"
"26","40","Human Papilloma 16 L1"," 1675872"," 4.35825893","0.00066305384","0.0049604937","0.0059245614","0.023750039","  0.57447619"," 0.00060893136443653829437128","0.0008126638","0.0064676085","0.0032526399"
"27","10","Human Parainfluenza 1"," 1425303"," 1.45840080","0.00993099928","0.0164786635","0.0157084998","0.020914002","  1.75769212"," 0.01168592205176790035925372","0.0238442831","0.0182555984","0.0287836916"
"28","25","Human Respiratory Syncytial","14391027"," 2.36472701","0.02102527996","0.0593753323","0.0345337168","0.072006528","  1.61659342"," 0.04352887082703375820624814","0.0779387607","0.0611274845","0.0912480151"
"29","12","Influenza A HA H1N1","32354910"," 2.85333451","0.08002492465","0.2970371782","0.1517532800","0.364303573","  1.93859996"," 0.12880825510237053910245208","0.2800530474","0.2066667403","0.3702987663"
"30","13","Influenza A HA H3N2","40641993"," 1.87988085","0.08804467769","0.2127941876","0.1792983896","0.289778925","  2.20590044"," 0.05810682020272499304081038","0.1592924553","0.1202515794","0.2341484169"
"31","14","Influenza A NA H1N1","27095970"," 2.02654614","0.09486420348","0.2348588486","0.1717336279","0.305413959","  1.98189132"," 0.10728058402242571234275204","0.2433312460","0.1712515346","0.3086891435"
"32","15","Influenza A NA H3N2"," 3416196"," 1.46448054","0.00180198797","0.0175813481","0.0381028262","0.040858476","  9.93216001"," 0.00179428981311069392010071","0.0137947204","0.0031750569","0.0355616261"
"33","16","Influenza B HA"," 1849770"," 1.65638648","0.00101050739","0.0031196792","0.0038646933","0.004955537","  0.95951964"," 0.00233478114500615743787115","0.0054243417","0.0127137114","0.0090149824"
"34","17","Influenza B NA"," 5385096"," 2.14914221","0.01754776474","0.0467865990","0.0424083151","0.082067543","  2.07326182"," 0.01847097399494372974015910","0.0508859440","0.0481349548","0.0872055855"
"35","26","Measles HH"," 1478949"," 2.32655971","0.03116967150","0.0774422303","0.0514335826","0.114739173","  3.09426129"," 0.02801862309089806629680552","0.1020996756","0.0491451393","0.1366651670"
"36"," 8","Human Parainfluenza 1 HN","  587520"," 0.60153148","0.01676500066","0.0125161969","0.0675487248","0.038201163","  3.41138368"," 0.01185584470181985650150125","0.0634143137","0.0384570464","0.1082222617"
"37","11","Human Parainfluenza 3"," 6539988"," 1.56920310","0.01128956173","0.0193229385","0.0159657906","0.023446245","  2.16325408"," 0.01482737963834730721135458","0.0358993850","0.0213324927","0.0423236065"
"38","41","Parvo B19 NS1","  312480"," 7.51182033","0.00454042861","0.0501764428","0.0124540639","0.077483132","  2.61127108"," 0.01321547239134136797478192","0.0540193130","0.0392389456","0.0829533917"
"39","42","Parvo B19 VP1","   91377","27.71010638","0.00158040801","0.0912595838","0.0058517733","0.114686952","  4.06078976"," 0.02155929490300658932233624","0.1106459241","0.0387393808","0.1342143208"
"40","27","Rhino B","  269739"," 5.89730601","0.03720702322","0.2336065527","0.0438263529","0.244272063","  2.78445908"," 0.09139699482813416764326320","0.2694123209","0.1066310280","0.2819886064"
"41","28","Rhino C","  450639"," 2.32216553","0.04641713025","0.1183456658","0.0628359355","0.135358038","  2.46826340"," 0.05789591085889133487141223","0.1580824915","0.0794807789","0.1809993642"
"42","29","Rota A VP6"," 5184207"," 1.46937161","0.09904186759","0.1565270568","0.1415912006","0.197052343","  1.53565845"," 0.10836059485041732441956697","0.1772768174","0.1465039126","0.2141080173"
